model,distractor_set,is_correct_mean,is_correct_count,confidence_mean,confidence_std,response_time_mean,response_time_std,calibration_error
gpt-3.5-turbo,mmlu_distractors_negation_based,0.9333333333333333,150,99.2,2.394064248127246,0.5648834832509358,0.34083967229538253,0.058666666666666645
gpt-3.5-turbo,mmlu_distractors_partial_truths,0.8933333333333333,150,99.2,2.4631512527572754,4.588307973543803,49.042109182560395,0.09866666666666668
gpt-3.5-turbo,mmlu_distractors_plausible_alternatives,0.9666666666666667,150,99.16666666666667,2.417544004906622,26.43704491297404,181.80092687747089,0.025000000000000022
gpt-3.5-turbo,mmlu_distractors_semantic_confounders,0.8533333333333334,150,99.23333333333333,2.2979905627304476,0.5645411570866903,0.4108536991094233,0.1389999999999999
gpt-3.5-turbo,mmlu_distractors_syntax_manipulations,0.92,150,99.5,1.985687039826324,0.5919054969151815,0.4593625181110202,0.07499999999999996
gpt-3.5-turbo,original,0.9533333333333334,150,99.26666666666667,2.3449693882367315,0.6636323674519857,0.5041750959539975,0.03933333333333333
gpt-4o,mmlu_distractors_negation_based,0.8933333333333333,150,98.5251798561151,3.1538587711844066,0.6691567039489746,0.6930708590166149,0.09191846522781766
gpt-4o,mmlu_distractors_partial_truths,0.9,150,98.14285714285714,3.4632114438227513,0.7343858273824057,0.779936457085271,0.0814285714285714
gpt-4o,mmlu_distractors_plausible_alternatives,0.9133333333333333,150,98.36879432624113,3.3002410031427587,0.7668551206588745,0.8707934096156591,0.07035460992907794
gpt-4o,mmlu_distractors_semantic_confounders,0.84,150,97.64285714285714,3.6206272133836057,0.7777925634384155,0.8804080493930287,0.13642857142857145
gpt-4o,mmlu_distractors_syntax_manipulations,0.8733333333333333,150,98.38129496402878,2.837113463305636,0.7538594420750936,0.8337370377796504,0.11047961630695458
gpt-4o,original,0.9266666666666666,150,98.41549295774648,3.227195954214804,0.7269256766637167,0.9010751736276186,0.057488262910798116
gpt-4o-mini,mmlu_distractors_negation_based,0.84,150,94.75,4.37968659566629,0.9105440489451091,1.0524455818648881,0.10750000000000004
gpt-4o-mini,mmlu_distractors_partial_truths,0.8333333333333334,150,94.75352112676056,4.508756837860604,1.8298772382736206,4.619285756349092,0.11420187793427228
gpt-4o-mini,mmlu_distractors_plausible_alternatives,0.8733333333333333,150,95.1063829787234,4.160532465338636,1.0067865959803264,1.2063045349111798,0.07773049645390073
gpt-4o-mini,mmlu_distractors_semantic_confounders,0.8,150,94.5,3.9918982700666557,0.7933864529927571,0.7888606177665172,0.1449999999999999
gpt-4o-mini,mmlu_distractors_syntax_manipulations,0.88,150,95.14285714285714,3.226623574524184,0.8916843144098917,1.0608649413821138,0.0714285714285714
gpt-4o-mini,original,0.9066666666666666,150,94.96478873239437,4.016653227070866,1.3197508255640666,3.738015146401277,0.04298122065727705
